platform,OS X 11.6.0 [arm 2],OS X 12.0.1 [arm 2],OS X 12.1.0 [arm 2],OS X 12.5.0 [arm 2],OS X 12.5.1 [arm 2],OS X 12.6.0 [arm 2],Partner SCEI sony_tv;ps4;9b18101888dd42948afd0b8792122bec;;tpapi,Partner windows_tv microsoft;xbox_series_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,Windows 10 (10.0.19043; x64; AppX),Windows 10 (10.0.22000; x64; AppX),android,"iOS 15.0 (iPhone9,1)","iOS 15.0.1 (iPhone9,1)","iOS 15.0.2 (iPhone9,1)","iOS 15.1 (iPhone10,6)","iOS 15.1 (iPhone12,1)","iOS 15.2 (iPhone12,1)","iOS 15.2.1 (iPhone12,1)","iOS 15.3 (iPhone14,2)","iOS 15.3.1 (iPhone14,2)","iOS 15.4.1 (iPhone14,2)","iOS 16.0 (iPhone14,2)",ios,osx,playstation,xbox
OS X 11.6.0 [arm 2],0.9999999999999998,0.32010985106049705,0.11426099509619361,0.14928394822768076,0.07623536317655258,0.0,0.26841697129019254,0.2840027919124343,0.08564454126438453,0.33497126082689516,0.0,0.4456897494968349,0.4362696905375975,0.5364102693836375,0.37322362197010706,0.45502539980333484,0.36394867764719324,0.3683950075213125,0.3836559939693266,0.405088308439569,0.3490388151809395,0.40705741921414146,0.2632758782749242,0.2580826542766138,0.025134662074487227,0.015060676664737229
OS X 12.0.1 [arm 2],0.32010985106049705,1.0,0.24577372414309123,0.14151016535518318,0.1360390744226797,0.0,0.23134723617201186,0.1766204220058805,0.20140855449823564,0.2485707533346427,0.0,0.2981636602164692,0.29796453064031625,0.4643451433108773,0.34469476402097005,0.6170257159367829,0.5538281692849485,0.3600505079721837,0.3841590367913337,0.419684026251823,0.3733089308619346,0.42855051222430235,0.2928832978634464,0.25695883654638935,0.08939866432579646,0.04092448285351434
OS X 12.1.0 [arm 2],0.11426099509619361,0.24577372414309123,0.9999999999999998,0.14318553065641582,0.04738998589884724,0.0,0.1728476340573915,0.03969489682249475,0.2886835703636493,0.23192061834186978,0.0,0.151982451096826,0.14851720005124827,0.22417058289209685,0.16128767942897299,0.25692987380479765,0.23004895608037695,0.23184934425170742,0.3524393528111109,0.2658722439418507,0.2799511640897392,0.34679154811905244,0.1685407835438316,0.19814524040947545,0.07027073411674162,0.0
OS X 12.5.0 [arm 2],0.14928394822768076,0.14151016535518318,0.14318553065641582,0.9999999999999996,0.14272744180372982,0.0,0.14602422645218935,0.09882079711944261,0.11637426451832909,0.22756015214348016,0.0,0.38411254208731443,0.2370006635764105,0.2341495597028214,0.12831362058691778,0.26829797003925737,0.30065753784172417,0.28550922109755383,0.25939712064728443,0.29098529317400457,0.2572574467702931,0.42705083403362987,0.24024287205822384,0.2081353927923358,0.01751675895978906,0.0
OS X 12.5.1 [arm 2],0.07623536317655258,0.1360390744226797,0.04738998589884724,0.14272744180372982,0.9999999999999999,0.0,0.17196168745970755,0.0,0.06169732519826231,0.08513005690296839,0.0,0.06850245453463982,0.09968960618101219,0.08218419054049726,0.03465520031797483,0.10501647934689935,0.12041521390915036,0.11789955829838933,0.11385241154530552,0.14175278376391384,0.21221284532555773,0.2147745987179953,0.12229888670535922,0.11449327643141352,0.08694406071022241,0.0
OS X 12.6.0 [arm 2],0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.05930341806915236,0.11665832996484482,0.0,0.0,0.0,0.025168949524952276,0.0,0.0,0.0,0.0,0.05894769065980152,0.06641291081022904,0.026792263564954028,0.06068566727211197,0.01778934484561624,0.10809440757246822,0.08556953878268325,0.0576740498239545,0.20147449913485188,0.0
Partner SCEI sony_tv;ps4;9b18101888dd42948afd0b8792122bec;;tpapi,0.26841697129019254,0.23134723617201186,0.1728476340573915,0.14602422645218935,0.17196168745970755,0.05930341806915236,1.0000000000000002,0.1327485279564255,0.13860917982451634,0.30247678015482815,0.0,0.3099840082244712,0.16792562879372433,0.30021209318274517,0.25352865712515515,0.2881497635091649,0.3749158922488533,0.25144061828145914,0.28610565724716747,0.3184489891316962,0.4580055742031502,0.3683445362940183,0.2030614002379307,0.19991885096844725,0.01382336318993467,0.02619259898592546
Partner windows_tv microsoft;xbox_series_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,0.2840027919124343,0.1766204220058805,0.03969489682249475,0.09882079711944261,0.0,0.11665832996484482,0.1327485279564255,1.0000000000000002,0.03972727889289719,0.19642826715401543,0.0,0.2043228444635684,0.2231553784411748,0.23493193840771248,0.07068463539338699,0.25562941504346365,0.21044711086616777,0.16774884109516622,0.1544892746564557,0.19641890315447783,0.2152748929334282,0.2314669335745086,0.19629840586803005,0.19297085695968447,0.04988655782759877,0.07712326416491434
Windows 10 (10.0.19043; x64; AppX),0.08564454126438453,0.20140855449823564,0.2886835703636493,0.11637426451832909,0.06169732519826231,0.0,0.13860917982451634,0.03972727889289719,1.0,0.13618072752293647,0.0,0.1609573461528209,0.1502355869817678,0.17208920278153536,0.09169496798600751,0.1692273042697277,0.1810989549565854,0.11952280776128882,0.18346354948815435,0.17129736856268557,0.2803260470103893,0.2607872512203844,0.1258391314936328,0.1290172825363909,0.07985735719679272,0.0
Windows 10 (10.0.22000; x64; AppX),0.33497126082689516,0.2485707533346427,0.23192061834186978,0.22756015214348016,0.08513005690296839,0.0,0.30247678015482815,0.19642826715401543,0.13618072752293647,1.0,0.04643300408589707,0.4968637322163779,0.3938999981111854,0.3705956595693738,0.2878103730954221,0.4359892155714816,0.3195913963136509,0.32046316988672635,0.3444405479384921,0.359963319389502,0.3763232160132175,0.406363739085271,0.25396774432930125,0.24230837541239433,0.007655249970101277,0.014505217713579314
